Model,Config ID,Scale Numeric,Parameters JSON,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Precision Std,CV Recall Mean,CV Recall Std,CV Specificity Mean,CV Specificity Std,CV F1 Mean,CV F1 Std,CV ROC-AUC Mean,CV ROC-AUC Std,CV PR-AUC Mean,CV PR-AUC Std,CV Fit Time Mean (s),Full Fit Time (s),Test Accuracy,Test Precision,Test Recall,Test Specificity,Test F1,Test ROC-AUC,Test PR-AUC,Test TN,Test FP,Test FN,Test TP
Perceptron,perceptron_046,False,"{""alpha"": 0.001, ""max_iter"": 500, ""penalty"": ""l2"", ""tol"": 0.001}",0.9995,0.0006846531968814,1.0,0.0,0.9982683982683984,0.0023710933225331,1.0,0.0,0.9991323210412149,0.0011881183459981,1.0,0.0,1.0,0.0,0.0242302894592285,0.0178297000238671,0.9995,0.9982698961937716,1.0,0.999297259311314,0.9991341991341992,1.0,1.0,1422,1,0,577
Perceptron,perceptron_047,True,"{""alpha"": 0.001, ""max_iter"": 500, ""penalty"": ""l2"", ""tol"": 0.0001}",0.994875,0.0036282313184249,0.9982465610811748,0.0028536043921822,0.983982683982684,0.0119145964887643,0.9992970123022846,0.0011457297724433,0.99103421815161,0.0063724145724308,0.9999185934159572,0.0001167414548095,0.9998120079783036,0.0002656051793746,0.0239789009094238,0.0219957000226713,0.999,1.0,0.9965337954939342,1.0,0.9982638888888888,0.9999963462355874,0.9999910356780016,1423,0,2,575
Perceptron,perceptron_048,False,"{""alpha"": 0.001, ""max_iter"": 500, ""penalty"": ""l2"", ""tol"": 0.0001}",0.9995,0.0006846531968814,1.0,0.0,0.9982683982683984,0.0023710933225331,1.0,0.0,0.9991323210412149,0.0011881183459981,1.0,0.0,1.0,0.0,0.0226802349090576,0.0179895999608561,0.9995,0.9982698961937716,1.0,0.999297259311314,0.9991341991341992,1.0,1.0,1422,1,0,577
Perceptron,perceptron_049,True,"{""alpha"": 0.01, ""max_iter"": 200, ""penalty"": ""l2"", ""tol"": 0.001}",0.992125,0.004689582870576,0.99474699867177,0.0082312964936757,0.977922077922078,0.0117960403406396,0.9978910369068542,0.0033229649211228,0.9862323990556382,0.0081923555601219,0.9996774169006156,0.0003584685162585,0.9992521784263746,0.0008300595825594,0.0250103950500488,0.0246129999868571,0.991,0.9964476021314388,0.9722703639514731,0.9985945186226284,0.9842105263157894,0.9997113526114064,0.9993225926653304,1421,2,16,561
Perceptron,perceptron_050,False,"{""alpha"": 0.01, ""max_iter"": 200, ""penalty"": ""l2"", ""tol"": 0.001}",0.9436250000000002,0.1180492481975213,0.9902243176160266,0.0101223955106594,0.8147186147186147,0.4143017724545065,0.9959578207381372,0.0041959003115336,0.8224866977999052,0.3831688195615136,0.9999048988504172,0.0002115909749324,0.999772746588491,0.0005055447522898,0.0224133014678955,0.014794599963352,0.987,1.0,0.954939341421144,1.0,0.9769503546099292,1.0,1.0,1423,0,26,551
Perceptron,perceptron_051,True,"{""alpha"": 0.01, ""max_iter"": 200, ""penalty"": ""l2"", ""tol"": 0.0001}",0.98725,0.0143109988295716,0.9986685672992208,0.0019783834916675,0.9571428571428572,0.0500042163848791,0.9994727592267136,0.0007859641397187,0.9769037707530686,0.0267003996177718,0.9997869734249348,0.0001915951858803,0.9995155875657884,0.0004369746667313,0.0248886585235595,0.0221607999992556,0.991,0.9964476021314388,0.9722703639514731,0.9985945186226284,0.9842105263157894,0.9997113526114064,0.9993225926653304,1421,2,16,561
Perceptron,perceptron_052,False,"{""alpha"": 0.01, ""max_iter"": 200, ""penalty"": ""l2"", ""tol"": 0.0001}",0.9436250000000002,0.1180492481975213,0.9902243176160266,0.0101223955106594,0.8147186147186147,0.4143017724545065,0.9959578207381372,0.0041959003115336,0.8224866977999052,0.3831688195615136,0.9999048988504172,0.0002115909749324,0.999772746588491,0.0005055447522898,0.020967960357666,0.0180875000078231,0.987,1.0,0.954939341421144,1.0,0.9769503546099292,1.0,1.0,1423,0,26,551
Perceptron,perceptron_053,True,"{""alpha"": 0.01, ""max_iter"": 300, ""penalty"": ""l2"", ""tol"": 0.001}",0.992125,0.004689582870576,0.99474699867177,0.0082312964936757,0.977922077922078,0.0117960403406396,0.9978910369068542,0.0033229649211228,0.9862323990556382,0.0081923555601219,0.9996774169006156,0.0003584685162585,0.9992521784263746,0.0008300595825594,0.0218033790588378,0.0269820999819785,0.991,0.9964476021314388,0.9722703639514731,0.9985945186226284,0.9842105263157894,0.9997113526114064,0.9993225926653304,1421,2,16,561
Perceptron,perceptron_054,False,"{""alpha"": 0.01, ""max_iter"": 300, ""penalty"": ""l2"", ""tol"": 0.001}",0.9436250000000002,0.1180492481975213,0.9902243176160266,0.0101223955106594,0.8147186147186147,0.4143017724545065,0.9959578207381372,0.0041959003115336,0.8224866977999052,0.3831688195615136,0.9999048988504172,0.0002115909749324,0.999772746588491,0.0005055447522898,0.0205329895019531,0.0227600000216625,0.987,1.0,0.954939341421144,1.0,0.9769503546099292,1.0,1.0,1423,0,26,551
Perceptron,perceptron_055,True,"{""alpha"": 0.01, ""max_iter"": 300, ""penalty"": ""l2"", ""tol"": 0.0001}",0.98725,0.0143109988295716,0.9986685672992208,0.0019783834916675,0.9571428571428572,0.0500042163848791,0.9994727592267136,0.0007859641397187,0.9769037707530686,0.0267003996177718,0.9997869734249348,0.0001915951858803,0.9995155875657884,0.0004369746667313,0.0227899551391601,0.0298579999944195,0.991,0.9964476021314388,0.9722703639514731,0.9985945186226284,0.9842105263157894,0.9997113526114064,0.9993225926653304,1421,2,16,561
Perceptron,perceptron_056,False,"{""alpha"": 0.01, ""max_iter"": 300, ""penalty"": ""l2"", ""tol"": 0.0001}",0.9436250000000002,0.1180492481975213,0.9902243176160266,0.0101223955106594,0.8147186147186147,0.4143017724545065,0.9959578207381372,0.0041959003115336,0.8224866977999052,0.3831688195615136,0.9999048988504172,0.0002115909749324,0.999772746588491,0.0005055447522898,0.0202434062957763,0.0185854000155814,0.987,1.0,0.954939341421144,1.0,0.9769503546099292,1.0,1.0,1423,0,26,551
